SampleSizeFraction,NoiseRange,Truncation,OutcomeMatchFraction,StrategicMismatchFraction,HappinessPollMean,HappinessTrueMean,HappinessDifference,RiskPollMean,RiskTrueMean,RiskDifference
0.5,"[0.0, 0.1]",3,0.49,0.62,0.32839999999999997,0.28000000000000036,0.04839999999999961,1.62,1.0,0.6200000000000001
0.5,"[0.0, 0.1]",4,0.42,0.55,0.3244000000000002,0.28000000000000036,0.04439999999999983,1.55,1.0,0.55
0.5,"[0.0, 0.1]",5,0.35,0.56,0.3208000000000002,0.28000000000000036,0.040799999999999836,1.56,1.0,0.56
0.5,"[0.0, 0.2]",3,0.44,0.56,0.33080000000000004,0.28000000000000036,0.05079999999999968,1.56,1.0,0.56
0.5,"[0.0, 0.2]",4,0.45,0.63,0.3356000000000001,0.28000000000000036,0.05559999999999976,1.63,1.0,0.6299999999999999
0.5,"[0.0, 0.2]",5,0.5,0.58,0.3284,0.28000000000000036,0.048399999999999666,1.58,1.0,0.5800000000000001
0.5,"[0.0, 0.3]",3,0.33,0.62,0.32519999999999993,0.28000000000000036,0.045199999999999574,1.62,1.0,0.6200000000000001
0.5,"[0.0, 0.3]",4,0.3,0.59,0.33399999999999996,0.28000000000000036,0.053999999999999604,1.59,1.0,0.5900000000000001
0.5,"[0.0, 0.3]",5,0.42,0.51,0.3216000000000001,0.28000000000000036,0.04159999999999975,1.51,1.0,0.51
0.5,"[0.0, 0.4]",3,0.4,0.62,0.32799999999999996,0.28000000000000036,0.0479999999999996,1.62,1.0,0.6200000000000001
0.5,"[0.0, 0.4]",4,0.28,0.55,0.3248000000000001,0.28000000000000036,0.04479999999999973,1.55,1.0,0.55
0.5,"[0.0, 0.4]",5,0.38,0.53,0.3296,0.28000000000000036,0.049599999999999644,1.53,1.0,0.53
0.5,"[0.0, 0.5]",3,0.39,0.61,0.3315999999999999,0.28000000000000036,0.051599999999999535,1.61,1.0,0.6100000000000001
0.5,"[0.0, 0.5]",4,0.38,0.59,0.3336000000000001,0.28000000000000036,0.05359999999999976,1.59,1.0,0.5900000000000001
0.5,"[0.0, 0.5]",5,0.44,0.63,0.3276000000000001,0.28000000000000036,0.047599999999999754,1.63,1.0,0.6299999999999999
